Reference,publised_year,Species
"Dias, W.A.F., Tezori, R.F.F. and Oliveira, A.K. (2012). Registro de mamiferos de medio e grande porte em dois fragmentos florestais no municipio de Sao Carlos, Estado de Sao Paulo. Multiciecia 11, 277-293.",2012,Leopardus pardalis
"Dias, W.A.F., Tezori, R.F.F. and Oliveira, A.K. (2012). Registro de mamiferos de medio e grande porte em dois fragmentos florestais no municipio de Sao Carlos, Estado de Sao Paulo. Multiciecia 11, 277-293.",2012,Leopardus sp.
"Dias, W.A.F., Tezori, R.F.F. and Oliveira, A.K. (2012). Registro de mamiferos de medio e grande porte em dois fragmentos florestais no municipio de Sao Carlos, Estado de Sao Paulo. Multiciecia 11, 277-293.",2012,Puma concolor
"Dias, W.A.F., Tezori, R.F.F. and Oliveira, A.K. (2012). Registro de mamiferos de medio e grande porte em dois fragmentos florestais no municipio de Sao Carlos, Estado de Sao Paulo. Multiciecia 11, 277-293.",2012,Chrysocyon brachyurus
"Dias, W.A.F., Tezori, R.F.F. and Oliveira, A.K. (2012). Registro de mamiferos de medio e grande porte em dois fragmentos florestais no municipio de Sao Carlos, Estado de Sao Paulo. Multiciecia 11, 277-293.",2012,Cerdocyon thous
"Dias, W.A.F., Tezori, R.F.F. and Oliveira, A.K. (2012). Registro de mamiferos de medio e grande porte em dois fragmentos florestais no municipio de Sao Carlos, Estado de Sao Paulo. Multiciecia 11, 277-293.",2012,Galictis vittata
"Dias, W.A.F., Tezori, R.F.F. and Oliveira, A.K. (2012). Registro de mamiferos de medio e grande porte em dois fragmentos florestais no municipio de Sao Carlos, Estado de Sao Paulo. Multiciecia 11, 277-293.",2012,Galictis cuja
"Dias, W.A.F., Tezori, R.F.F. and Oliveira, A.K. (2012). Registro de mamiferos de medio e grande porte em dois fragmentos florestais no municipio de Sao Carlos, Estado de Sao Paulo. Multiciecia 11, 277-293.",2012,Conepatus semistriatus
"Dias, W.A.F., Tezori, R.F.F. and Oliveira, A.K. (2012). Registro de mamiferos de medio e grande porte em dois fragmentos florestais no municipio de Sao Carlos, Estado de Sao Paulo. Multiciecia 11, 277-293.",2012,Nasua nasua
"Dias, W.A.F., Tezori, R.F.F. and Oliveira, A.K. (2012). Registro de mamiferos de medio e grande porte em dois fragmentos florestais no municipio de Sao Carlos, Estado de Sao Paulo. Multiciecia 11, 277-293.",2012,Procyon cancrivorus
"Dias, W.A.F., Tezori, R.F.F. and Oliveira, A.K. (2012). Registro de mamiferos de medio e grande porte em dois fragmentos florestais no municipio de Sao Carlos, Estado de Sao Paulo. Multiciecia 11, 277-293.",2012,Mazama sp.
"Dias, W.A.F., Tezori, R.F.F. and Oliveira, A.K. (2012). Registro de mamiferos de medio e grande porte em dois fragmentos florestais no municipio de Sao Carlos, Estado de Sao Paulo. Multiciecia 11, 277-293.",2012,Dasyprocta azarae
"Dias, W.A.F., Tezori, R.F.F. and Oliveira, A.K. (2012). Registro de mamiferos de medio e grande porte em dois fragmentos florestais no municipio de Sao Carlos, Estado de Sao Paulo. Multiciecia 11, 277-293.",2012,Coendou spinosus
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Cabassous unicinctus
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Dasypus novemcinctus
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Euphractus sexcinctus
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Sapajus nigritus
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Callicebus nigrifrons
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Cerdocyon thous
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Leopardus pardalis
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Puma concolor
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Eira barbara
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Lontra longicaudis
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Nasua nasua
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Procyon cancrivorus
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Cuniculus paca
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Dasyprocta azarae
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Mazama sp.
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Mazama americana
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Mazama gouazoubira
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Sus scrofa
"Dotta, G. and Verdade, L.M. (2011). Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil. Mammalia 75, 345-352.",2011,Lepus europaeus
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Didelphis albiventris
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Didelphis albiventris
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Dasypus novemcinctus
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Dasypus novemcinctus
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Dasypus novemcinctus
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Guerlinguetus brasiliensis
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Callithrix aurita
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Alouatta guariba
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Callicebus nigrifrons
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Alouatta guariba
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Cerdocyon thous
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Leopardus pardalis
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Leopardus sp.
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Eira barbara
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Procyon cancrivorus
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Leopardus pardalis
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Eira barbara
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Procyon cancrivorus
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Cavia sp.
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Dasyprocta sp.
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Cuniculus paca
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Cuniculus paca
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Sylvilagus brasiliensis
"Eduardo, A. A. and Passamani, M. (2009). Mammals of medium and large size in Santa Rita do Sapucai, Minas Gerais, southeastern Brazil. Check List 5.3, 399-404.",2009,Sylvilagus brasiliensis
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Mazama gouazoubira
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Pecari tajacu
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Canis familiaris
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Leopardus wiedii
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Nasua nasua
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Puma concolor
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Cabassous unicinctus
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Dasypus novemcinctus
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Didelphis aurita
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Tapirus terrestris
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Tamandua tetradactyla
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Cuniculus paca
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Dasyprocta leporina
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Mazama gouazoubira
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Pecari tajacu
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Leopardus wiedii
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Callithrix geoffroyi
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Nasua nasua
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Puma concolor
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Cabassous unicinctus
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Dasypus novemcinctus
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Didelphis aurita
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Tapirus terrestris
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Tamandua tetradactyla
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Cuniculus paca
"Fornitano, L., Angeli, T., Costa, R.T., Olifiers, N. and Bianchi, R.C. (2015). Medium to large-sized mammals of the Augusto Ruschi Biological Reserve, Sao Paulo State, Brazil. Oecologia Oecol . Australis 19, 232-243.",2015,Dasyprocta leporina
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Didelphis aurita
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Bradypus variegatus
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Bradypus variegatus
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Cabassous tatouay
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Dasypus novemcinctus
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Dasypus novemcinctus
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Dasypus septemcinctus
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Dasypus septemcinctus
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Myrmecophaga tridactyla
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Tamandua tetradactyla
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Tamandua tetradactyla
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Alouatta guariba
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Alouatta guariba
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Alouatta guariba
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Alouatta guariba
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Brachyteles arachnoides
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Brachyteles arachnoides
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Brachyteles arachnoides
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Brachyteles arachnoides
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Callicebus nigrifrons
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Callicebus nigrifrons
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Callicebus nigrifrons
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Callicebus nigrifrons
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Callicebus nigrifrons
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Callicebus nigrifrons
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Callicebus nigrifrons
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Callicebus nigrifrons
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Callicebus nigrifrons
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Callicebus nigrifrons
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Sapajus nigritus
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Sapajus nigritus
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Sapajus nigritus
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Sapajus nigritus
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Sapajus nigritus
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Cerdocyon thous
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Cerdocyon thous
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Cerdocyon thous
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Cerdocyon thous
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Cerdocyon thous
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Cerdocyon thous
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Chrysocyon brachyurus
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Puma yagouaroundi
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Leopardus pardalis
"Geise, L., Pereira, L.G., Bossi, D.E.P. and Bergallo, H.G. (2004). Pattern of elevational distribution and richness of non volant mammals in Itatiaia National Park and its surroundings, in southeastern Brazil. Braz. J. Biol. 64, 599-612.",2004,Leopardus pardalis
